;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
Chobe;32,23;30,36;29,67;29,38;28,39;26,26;26,23;30,49;34,82;34,94;36,81;32,24
North-West;32,64;31,27;30,82;29,52;28,00;25,49;25,35;29,83;34,42;34,32;36,84;32,06
North-East;30,23;29,95;29,72;27,48;25,63;22,86;22,48;26,66;30,82;32,26;32,76;30,62
Francistown;31,22;28,97;27,54;26,88;24,21;21,33;21,28;25,89;28,92;30,12;33,83;31,22
Central;31,89;31,53;31,26;29,39;27,27;24,49;24,17;28,37;32,81;34,25;35,25;30,23
Selibe-Phikwe;31,11;31,08;30,06;28,37;26,17;23,12;23,01;26,82;30,83;32,88;33,22;32,11
Ghanzi;32,70;32,40;31,50;29,90;27,70;24,89;24,50;28,20;32,50;34,80;34,90;33,70
Kweneng;29,90;29,40;28,42;25,55;23,32;20,50;24,22;24,21;28,44;30,71;30,89;30,33
Kgatleng;30,11;30,03;29,51;27,11;24,70;21,92;21,61;25,73;29,88;32,22;32,91;31,60
Jwaneng;31,20;30,11;30,04;27,36;25,12;23,01;22,16;26,35;30,32;31,98;33,73;32,44
Gaborone;31,37;31,05;29,97;26,44;24,40;21,05;20,97;25,04;29,55;31,52;31,48;31,27
Kgalagadi;32,53;31,01;31,09;27,61;25,43;22,24;21,86;25,87;30,35;32,85;33,13;32,95
Southern;31,07;30,67;29,94;26,32;24,31;21,06;20,89;24,96;29,51;31,65;31,54;31,26
Lobatse;31,37;31,05;29,97;26,44;24,40;21,05;20,97;25,04;29,55;31,52;31,48;31,27
South-East;31,37;31,05;29,97;26,44;24,40;21,05;20,97;25,04;29,55;31,52;31,48;31,27
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;Monthly Maximun Averages : Record high °C;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
https://weather-and-climate.com/average-monthly-min-max-Temperature,Chobe+National+Park-bw,Botswana;;;;;;;;;;;;