Year,LST_Day
"Nov 8, 2004",42.847
"Nov 16, 2004",42.226
"Nov 24, 2004",44.664
"Dec 2, 2004",43.203
"Dec 10, 2004",37.124
"Dec 18, 2004",32.366
"Dec 26, 2004",37.718
"Jan 1, 2005",40.448
"Jan 9, 2005",38.311
"Jan 17, 2005",34.175
"Jan 25, 2005",36.218
"Feb 2, 2005",39.045
"Feb 10, 2005",38.673
"Feb 18, 2005",36.773
"Feb 26, 2005",35.913
"Mar 6, 2005",38.46
"Mar 14, 2005",34.217
"Mar 22, 2005",32.348
"Mar 30, 2005",29.611
"Apr 7, 2005",28.986
"Apr 15, 2005",27.784
"Apr 23, 2005",24.565
"May 1, 2005",27.007
"May 9, 2005",25.302
"May 17, 2005",25.94
"May 25, 2005",23.499
"Jun 2, 2005",24.898
"Jun 10, 2005",23.008
"Jun 18, 2005",22.874
"Jun 26, 2005",22.863
"Jul 4, 2005",21.295
"Jul 12, 2005",23.117
"Jul 20, 2005",26.036
"Jul 28, 2005",24.962
"Aug 5, 2005",26.59
"Aug 13, 2005",27.064
"Aug 21, 2005",29.325
"Aug 29, 2005",32.042
"Sep 6, 2005",35.689
"Sep 14, 2005",35.681
"Sep 22, 2005",37.454
"Sep 30, 2005",40.723
"Oct 8, 2005",41.051
"Oct 16, 2005",42.04
"Oct 24, 2005",42.577
"Nov 1, 2005",46.418
"Nov 9, 2005",44.791
"Nov 17, 2005",44.6
"Nov 25, 2005",32.2
"Dec 3, 2005",38.306
"Dec 11, 2005",39.361
"Dec 19, 2005",34.66
"Dec 27, 2005",37.586
"Jan 1, 2006",35.627
"Jan 9, 2006",28.083
"Jan 17, 2006",28.36
"Jan 25, 2006",32.068
"Feb 2, 2006",33.71
"Feb 10, 2006",27.258
"Feb 18, 2006",31.408
"Feb 26, 2006",28.929
"Mar 6, 2006",29.371
"Mar 14, 2006",28.459
"Mar 22, 2006",25.957
"Mar 30, 2006",26.855
"Apr 7, 2006",26.589
"Apr 15, 2006",26.293
"Apr 23, 2006",24.263
"May 1, 2006",21.981
"May 9, 2006",23.426
"May 17, 2006",20.803
"May 25, 2006",21.817
"Jun 2, 2006",21.317
"Jun 10, 2006",22.011
"Jun 18, 2006",20.02
"Jun 26, 2006",17.155
"Jul 4, 2006",20.606
"Jul 12, 2006",21.783
"Jul 20, 2006",23.003
"Jul 28, 2006",22.003
"Aug 5, 2006",23.953
"Aug 13, 2006",24.605
"Aug 21, 2006",24.373
"Aug 29, 2006",26.209
"Sep 6, 2006",30.357
"Sep 14, 2006",31.986
"Sep 22, 2006",35.211
"Sep 30, 2006",36.863
"Oct 8, 2006",36.589
"Oct 16, 2006",41.796
"Oct 24, 2006",42.707
"Nov 1, 2006",40.039
"Nov 9, 2006",41.002
"Nov 17, 2006",36.918
"Nov 25, 2006",40.126
"Dec 3, 2006",42.963
"Dec 11, 2006",41.508
"Dec 19, 2006",37.706
"Dec 27, 2006",31.941
"Jan 1, 2007",39.315
"Jan 9, 2007",40.647
"Jan 17, 2007",39.643
"Jan 25, 2007",38.897
"Feb 2, 2007",39.761
"Feb 10, 2007",40.02
"Feb 18, 2007",40.484
"Feb 26, 2007",39.546
"Mar 6, 2007",38.998
"Mar 14, 2007",40.222
"Mar 22, 2007",38.274
"Mar 30, 2007",31.608
"Apr 7, 2007",31.408
"Apr 15, 2007",31.913
"Apr 23, 2007",29.232
"May 1, 2007",28.416
"May 9, 2007",29.462
"May 17, 2007",24.557
"May 25, 2007",23.834
"Jun 2, 2007",19.979
"Jun 10, 2007",21.426
"Jun 18, 2007",21.095
"Jun 26, 2007",20.88
"Jul 4, 2007",19.028
"Jul 12, 2007",21.816
"Jul 20, 2007",24.069
"Jul 28, 2007",24.092
"Aug 5, 2007",25.023
"Aug 13, 2007",26.928
"Aug 21, 2007",28.638
"Aug 29, 2007",32.919
"Sep 6, 2007",35.199
"Sep 14, 2007",34.664
"Sep 22, 2007",37.897
"Sep 30, 2007",27.677
"Oct 8, 2007",32.635
"Oct 16, 2007",35.029
"Oct 24, 2007",34.749
"Nov 1, 2007",34.857
"Nov 9, 2007",40.729
"Nov 17, 2007",37.992
"Nov 25, 2007",30.266
"Dec 3, 2007",26.817
"Dec 11, 2007",31.869
"Dec 19, 2007",31.013
"Dec 27, 2007",35.332
"Jan 1, 2008",37.54
"Jan 9, 2008",29.137
"Jan 17, 2008",33.175
"Jan 25, 2008",30.014
"Feb 2, 2008",31.23
"Feb 10, 2008",32.621
"Feb 18, 2008",33.536
"Feb 26, 2008",30.85
"Mar 5, 2008",30.528
"Mar 13, 2008",28.147
"Mar 21, 2008",27.885
"Mar 29, 2008",28.056
"Apr 6, 2008",26.607
"Apr 14, 2008",26.944
"Apr 22, 2008",25.434
"Apr 30, 2008",25.618
"May 8, 2008",24.812
"May 16, 2008",22.3
"May 24, 2008",21.409
"Jun 1, 2008",21.348
"Jun 9, 2008",20.458
"Jun 17, 2008",20.785
"Jun 25, 2008",20.783
"Jul 3, 2008",20.233
"Jul 11, 2008",18.805
"Jul 19, 2008",21.92
"Jul 27, 2008",23.998
"Aug 4, 2008",24.465
"Aug 12, 2008",25.817
"Aug 20, 2008",28.85
"Aug 28, 2008",28.152
"Sep 5, 2008",32.633
"Sep 13, 2008",32.646
"Sep 21, 2008",34.078
"Sep 29, 2008",34.197
"Oct 7, 2008",38.678
"Oct 15, 2008",38.983
"Oct 23, 2008",38.462
"Oct 31, 2008",41.366
"Nov 8, 2008",31.906
"Nov 16, 2008",35.303
"Nov 24, 2008",36.711
"Dec 2, 2008",35.654
"Dec 10, 2008",35.236
"Dec 18, 2008",35.265
"Dec 26, 2008",31.877
"Jan 1, 2009",34.887
"Jan 9, 2009",27.455
"Jan 17, 2009",35.376
"Jan 25, 2009",29.369
"Feb 2, 2009",29.108
"Feb 10, 2009",30.558
"Feb 18, 2009",32.597
"Feb 26, 2009",27.604
"Mar 6, 2009",31.272
"Mar 14, 2009",27.722
"Mar 22, 2009",28.624
"Mar 30, 2009",28.647
"Apr 7, 2009",28.885
"Apr 15, 2009",28.389
"Apr 23, 2009",26.652
"May 1, 2009",23.815
"May 9, 2009",22.493
"May 17, 2009",22.675
"May 25, 2009",23.717
"Jun 2, 2009",23.597
"Jun 10, 2009",20.138
"Jun 18, 2009",18.641
"Jun 26, 2009",16.912
"Jul 4, 2009",18.835
"Jul 12, 2009",19.412
"Jul 20, 2009",19.098
"Jul 28, 2009",20.695
"Aug 5, 2009",24.152
"Aug 13, 2009",22.873
"Aug 21, 2009",25.893
"Aug 29, 2009",29.877
"Sep 6, 2009",30.721
"Sep 14, 2009",32.17
"Sep 22, 2009",31.855
"Sep 30, 2009",31.763
"Oct 8, 2009",34.438
"Oct 16, 2009",35.289
"Oct 24, 2009",36.288
"Nov 1, 2009",33.56
"Nov 9, 2009",38.571
"Nov 17, 2009",30.838
"Nov 25, 2009",35.339
"Dec 3, 2009",33.441
"Dec 11, 2009",34.82
"Dec 19, 2009",37.095
"Dec 27, 2009",32.055
"Jan 1, 2010",32.276
"Jan 9, 2010",35.619
"Jan 17, 2010",33.735
"Jan 25, 2010",32.44
"Feb 2, 2010",32.401
"Feb 10, 2010",34.807
"Feb 18, 2010",31.307
"Feb 26, 2010",31.372
"Mar 6, 2010",34.831
"Mar 14, 2010",33.782
"Mar 22, 2010",32.552
"Mar 30, 2010",22.329
"Apr 7, 2010",27.513
"Apr 15, 2010",28.494
"Apr 23, 2010",22.697
"May 1, 2010",23.699
"May 9, 2010",24.273
"May 17, 2010",22.786
"May 25, 2010",20.428
"Jun 2, 2010",21.574
"Jun 10, 2010",18.501
"Jun 18, 2010",19.446
"Jun 26, 2010",20.794
"Jul 4, 2010",21.418
"Jul 12, 2010",18.716
"Jul 20, 2010",22.707
"Jul 28, 2010",23.277
"Aug 5, 2010",23.11
"Aug 13, 2010",25.937
"Aug 21, 2010",25.673
"Aug 29, 2010",31.822
"Sep 6, 2010",31.293
"Sep 14, 2010",32.416
"Sep 22, 2010",33.246
"Sep 30, 2010",36.662
"Oct 8, 2010",37.317
"Oct 16, 2010",37.429
"Oct 24, 2010",38.907
"Nov 1, 2010",41.008
"Nov 9, 2010",37.609
"Nov 17, 2010",37.703
"Nov 25, 2010",40.818
"Dec 3, 2010",39.634
"Dec 11, 2010",38.753
"Dec 19, 2010",34.905
"Dec 27, 2010",36.791
"Jan 1, 2011",33.159
"Jan 9, 2011",31.749
"Jan 17, 2011",25.539
"Jan 25, 2011",31.6
"Feb 2, 2011",33.083
"Feb 10, 2011",33.231
"Feb 18, 2011",29.899
"Feb 26, 2011",31.575
"Mar 6, 2011",32.517
"Mar 14, 2011",29.152
"Mar 22, 2011",31.471
"Mar 30, 2011",29.416
"Apr 7, 2011",26.082
"Apr 15, 2011",20.243
"Apr 23, 2011",23.985
"May 1, 2011",23.076
"May 9, 2011",22.443
"May 17, 2011",22.906
"May 25, 2011",19.615
"Jun 2, 2011",17.991
"Jun 10, 2011",19.988
"Jun 18, 2011",17.459
"Jun 26, 2011",19.575
"Jul 4, 2011",17.571
"Jul 12, 2011",19.943
"Jul 20, 2011",20.353
"Jul 28, 2011",20.129
"Aug 5, 2011",23.746
"Aug 13, 2011",23.862
"Aug 21, 2011",26.724
"Aug 29, 2011",31.18
"Sep 6, 2011",32.635
"Sep 14, 2011",33.376
"Sep 22, 2011",33.314
"Sep 30, 2011",33.432
"Oct 8, 2011",36.243
"Oct 16, 2011",38.21
"Oct 24, 2011",39.893
"Nov 1, 2011",38.556
"Nov 9, 2011",43.137
"Nov 17, 2011",42.313
"Nov 25, 2011",37.271
"Dec 3, 2011",44.237
"Dec 11, 2011",36.997
"Dec 19, 2011",38.292
"Dec 27, 2011",28.89
"Jan 1, 2012",38.367
"Jan 9, 2012",32.667
"Jan 17, 2012",34.029
"Jan 25, 2012",34.238
"Feb 2, 2012",36.21
"Feb 10, 2012",32.695
"Feb 18, 2012",38.057
"Feb 26, 2012",35.182
"Mar 5, 2012",35.689
"Mar 13, 2012",33.347
"Mar 21, 2012",33.555
"Mar 29, 2012",27.979
"Apr 6, 2012",29.437
"Apr 14, 2012",28.806
"Apr 22, 2012",28.939
"Apr 30, 2012",30.563
"May 8, 2012",27.463
"May 16, 2012",25.89
"May 24, 2012",24.638
"Jun 1, 2012",23.657
"Jun 9, 2012",20.336
"Jun 17, 2012",21.984
"Jun 25, 2012",22.563
"Jul 3, 2012",22.2
"Jul 11, 2012",21.558
"Jul 19, 2012",23.664
"Jul 27, 2012",23.406
"Aug 4, 2012",22.41
"Aug 12, 2012",24.942
"Aug 20, 2012",32.463
"Aug 28, 2012",31.727
"Sep 5, 2012",31.52
"Sep 13, 2012",34.724
"Sep 21, 2012",36.341
"Sep 29, 2012",40.237
"Oct 7, 2012",40.416
"Oct 15, 2012",37.776
"Oct 23, 2012",35.286
"Oct 31, 2012",37.95
"Nov 8, 2012",37.783
"Nov 16, 2012",45.352
"Nov 24, 2012",38.087
"Dec 2, 2012",35.264
"Dec 10, 2012",34.159
"Dec 18, 2012",35.649
"Dec 26, 2012",36.786
"Jan 1, 2013",37.264
"Jan 9, 2013",38.107
"Jan 17, 2013",34.403
"Jan 25, 2013",36.397
"Feb 2, 2013",32.806
"Feb 10, 2013",35.036
"Feb 18, 2013",35.856
"Feb 26, 2013",32.571
"Mar 6, 2013",35.174
"Mar 14, 2013",35.654
"Mar 22, 2013",32.858
"Mar 30, 2013",29.741
"Apr 7, 2013",34.126
"Apr 15, 2013",28.673
"Apr 23, 2013",28.138
"May 1, 2013",25.558
"May 9, 2013",26.113
"May 17, 2013",24.649
"May 25, 2013",26.173
"Jun 2, 2013",24.588
"Jun 10, 2013",22.749
"Jun 18, 2013",21.463
"Jun 26, 2013",23.496
"Jul 4, 2013",21.018
"Jul 12, 2013",21.084
"Jul 20, 2013",23.131
"Jul 28, 2013",22.896
"Aug 5, 2013",24.336
"Aug 13, 2013",27.328
"Aug 21, 2013",27.538
"Aug 29, 2013",29.83
"Sep 6, 2013",33.104
"Sep 14, 2013",35.32
"Sep 22, 2013",39.985
"Sep 30, 2013",40.444
"Oct 8, 2013",39.461
"Oct 16, 2013",40.47
"Oct 24, 2013",39.255
"Nov 1, 2013",43.243
"Nov 9, 2013",44.406
"Nov 17, 2013",41.408
"Nov 25, 2013",37.437
"Dec 3, 2013",40.065
"Dec 11, 2013",38.261
"Dec 19, 2013",34.935
"Dec 27, 2013",30.2
"Jan 1, 2014",36.602
"Jan 9, 2014",40.033
"Jan 17, 2014",38.052
"Jan 25, 2014",35.799
"Feb 2, 2014",34.234
"Feb 10, 2014",32.873
"Feb 18, 2014",36.017
"Feb 26, 2014",30.163
"Mar 6, 2014",27.396
"Mar 14, 2014",30.694
"Mar 22, 2014",28.684
"Mar 30, 2014",28.326
"Apr 7, 2014",26.624
"Apr 15, 2014",27.219
"Apr 23, 2014",26.712
"May 1, 2014",27.527
"May 9, 2014",26.667
"May 17, 2014",25.587
"May 25, 2014",25.744
"Jun 2, 2014",23.464
"Jun 10, 2014",21.807
"Jun 18, 2014",21.894
"Jun 26, 2014",21.49
"Jul 4, 2014",20.293
"Jul 12, 2014",21.725
"Jul 20, 2014",22.776
"Jul 28, 2014",23.49
"Aug 5, 2014",25.907
"Aug 13, 2014",26.201
"Aug 21, 2014",29.282
"Aug 29, 2014",27.52
"Sep 6, 2014",35.098
"Sep 14, 2014",35.116
"Sep 22, 2014",36.131
"Sep 30, 2014",36.089
"Oct 8, 2014",41.736
"Oct 16, 2014",39.513
"Oct 24, 2014",40.691
"Nov 1, 2014",39.542
"Nov 9, 2014",38.746
"Nov 17, 2014",41.275
"Nov 25, 2014",38.18
"Dec 3, 2014",40.082
"Dec 11, 2014",36.212
"Dec 19, 2014",36.902
"Dec 27, 2014",31.359
"Jan 1, 2015",39.732
"Jan 9, 2015",35.837
"Jan 17, 2015",35.236
"Jan 25, 2015",39.032
"Feb 2, 2015",39.195
"Feb 10, 2015",38.156
"Feb 18, 2015",41.046
"Feb 26, 2015",33.612
"Mar 6, 2015",33.311
"Mar 14, 2015",36.426
"Mar 22, 2015",32.426
"Mar 30, 2015",35.432
"Apr 7, 2015",28.247
"Apr 15, 2015",29.882
"Apr 23, 2015",29.593
"May 1, 2015",29.387
"May 9, 2015",28.706
"May 17, 2015",27.493
"May 25, 2015",27.158
"Jun 2, 2015",21.506
"Jun 10, 2015",22.886
"Jun 18, 2015",22.137
"Jun 26, 2015",23.101
"Jul 4, 2015",22.699
"Jul 12, 2015",22.159
"Jul 20, 2015",22.188
"Jul 28, 2015",23.305
"Aug 5, 2015",27.241
"Aug 13, 2015",28.598
"Aug 21, 2015",29.277
"Aug 29, 2015",32.629
"Sep 6, 2015",30.671
"Sep 14, 2015",33.814
"Sep 22, 2015",38.28
"Sep 30, 2015",40.089
"Oct 8, 2015",42.214
"Oct 16, 2015",40.88
"Oct 24, 2015",42.704
"Nov 1, 2015",40.259
"Nov 9, 2015",48.52
"Nov 17, 2015",35.402
"Nov 25, 2015",42.752
"Dec 3, 2015",45.217
"Dec 11, 2015",39.996
"Dec 19, 2015",45.303
"Dec 27, 2015",40.737
"Jan 1, 2016",45.019
"Jan 9, 2016",39.386
"Jan 17, 2016",37.571
"Jan 25, 2016",40.981
"Feb 2, 2016",42.574
"Feb 10, 2016",39.802
"Feb 18, 2016",41.427
"Feb 26, 2016",38.099
"Mar 5, 2016",39.242
"Mar 13, 2016",31.245
"Mar 21, 2016",32.618
"Mar 29, 2016",33.772
"Apr 6, 2016",30.228
"Apr 14, 2016",31.362
"Apr 22, 2016",30.74
"Apr 30, 2016",28.366
"May 8, 2016",26.91
"May 16, 2016",23.576
"May 24, 2016",23.698
"Jun 1, 2016",22.581
"Jun 9, 2016",22.413
"Jun 17, 2016",20.443
"Jun 25, 2016",20.736
"Jul 3, 2016",20.855
"Jul 11, 2016",21.937
"Jul 19, 2016",23.478
"Jul 27, 2016",22.792
"Aug 4, 2016",24.825
"Aug 12, 2016",27.075
"Aug 20, 2016",29.278
"Aug 28, 2016",31.87
"Sep 5, 2016",32.444
"Sep 13, 2016",32.317
"Sep 21, 2016",37.411
"Sep 29, 2016",38.65
"Oct 7, 2016",40.413
"Oct 15, 2016",39.472
"Oct 23, 2016",41.187
"Oct 31, 2016",43.496
"Nov 8, 2016",37.107
"Nov 16, 2016",37.574
"Nov 24, 2016",38.526
"Dec 2, 2016",41.184
"Dec 10, 2016",36.477
"Dec 18, 2016",41.713
"Dec 26, 2016",33.96
"Jan 1, 2017",37.473
"Jan 9, 2017",34.158
"Jan 17, 2017",36.52
"Jan 25, 2017",29.006
"Feb 2, 2017",29.866
"Feb 10, 2017",30.378
"Feb 18, 2017",26.034
"Feb 26, 2017",29.136
"Mar 6, 2017",29.758
"Mar 14, 2017",30.158
"Mar 22, 2017",31.344
"Mar 30, 2017",31.03
"Apr 7, 2017",27.145
"Apr 15, 2017",26.9
"Apr 23, 2017",25.158
"May 1, 2017",26.366
"May 9, 2017",25.062
"May 17, 2017",25.076
"May 25, 2017",24.043
"Jun 2, 2017",22.332
"Jun 10, 2017",22.383
"Jun 18, 2017",21.357
"Jun 26, 2017",21.314
"Jul 4, 2017",22.545
"Jul 12, 2017",23.845
"Jul 20, 2017",23.224
"Jul 28, 2017",23.98
"Aug 5, 2017",25.749
"Aug 13, 2017",26.026
"Aug 21, 2017",26.905
"Aug 29, 2017",28.631
"Sep 6, 2017",33.084
"Sep 14, 2017",35.313
"Sep 22, 2017",34.816
"Sep 30, 2017",31.581
"Oct 8, 2017",33.007
"Oct 16, 2017",37.531
"Oct 24, 2017",39.65
"Nov 1, 2017",40.993
"Nov 9, 2017",37.583
"Nov 17, 2017",39.487
"Nov 25, 2017",34.184
"Dec 3, 2017",38.941
"Dec 11, 2017",39.239
"Dec 19, 2017",36.129
"Dec 27, 2017",38.064
"Jan 1, 2018",42.851
"Jan 9, 2018",40.123
"Jan 17, 2018",40.609
"Jan 25, 2018",
"Feb 2, 2018",34.715
"Feb 10, 2018",32.956
"Feb 18, 2018",32.34
"Feb 26, 2018",28.684
"Mar 6, 2018",31.025
"Mar 14, 2018",34.321
"Mar 22, 2018",25.725
"Mar 30, 2018",25.739
"Apr 7, 2018",27.746
"Apr 15, 2018",26.91
"Apr 23, 2018",28.471
"May 1, 2018",26.258
"May 9, 2018",25.883
"May 17, 2018",24.291
"May 25, 2018",25.089
"Jun 2, 2018",20.864
"Jun 10, 2018",21.284
"Jun 18, 2018",22.036
"Jun 26, 2018",20.814
"Jul 4, 2018",18.419
"Jul 12, 2018",19.707
"Jul 20, 2018",21.395
"Jul 28, 2018",25.323
"Aug 5, 2018",24.601
"Aug 13, 2018",27.192
"Aug 21, 2018",26.778
"Aug 29, 2018",29.01
"Sep 6, 2018",29.714
"Sep 14, 2018",36.463
"Sep 22, 2018",34.877
"Sep 30, 2018",34.523
"Oct 8, 2018",37.857
"Oct 16, 2018",37.559
"Oct 24, 2018",41.994
"Nov 1, 2018",37.453
"Nov 9, 2018",42.095
"Nov 17, 2018",43.839
"Nov 25, 2018",43.322
"Dec 3, 2018",44.113
"Dec 11, 2018",43.222
"Dec 19, 2018",44.631
"Dec 27, 2018",44.56
"Jan 1, 2019",38.32
"Jan 9, 2019",38.357
"Jan 17, 2019",38.304
"Jan 25, 2019",36.462
"Feb 2, 2019",33.145
"Feb 10, 2019",35.121
"Feb 18, 2019",36.721
"Feb 26, 2019",40.479
"Mar 6, 2019",33.628
"Mar 14, 2019",37.205
"Mar 22, 2019",36.696
"Mar 30, 2019",33.133
"Apr 7, 2019",26.846
"Apr 15, 2019",29.656
"Apr 23, 2019",26.42
"May 1, 2019",27.382
"May 9, 2019",26.184
"May 17, 2019",25.835
"May 25, 2019",23.262
"Jun 2, 2019",23.444
"Jun 10, 2019",21.926
"Jun 18, 2019",21.909
"Jun 26, 2019",21.469
"Jul 4, 2019",23.192
"Jul 12, 2019",23.508
"Jul 20, 2019",22.711
"Jul 28, 2019",24.713
"Aug 5, 2019",27.061
"Aug 13, 2019",28.519
"Aug 21, 2019",30.649
"Aug 29, 2019",30.856
"Sep 6, 2019",33.323
"Sep 14, 2019",35.997
"Sep 22, 2019",35.657
"Sep 30, 2019",37.33
"Oct 8, 2019",41.872
"Oct 16, 2019",42.884
"Oct 24, 2019",44.51
"Nov 1, 2019",37.237
"Nov 9, 2019",35.509
"Nov 17, 2019",36.924
"Nov 25, 2019",41.165
"Dec 3, 2019",39.281
"Dec 11, 2019",34.003
"Dec 19, 2019",37.514
"Dec 27, 2019",39.016
"Jan 1, 2020",34.284
"Jan 9, 2020",34.692
"Jan 17, 2020",33.837
"Jan 25, 2020",32.084
"Feb 2, 2020",34.921
"Feb 10, 2020",32.824
"Feb 18, 2020",32.782
"Feb 26, 2020",31.872
"Mar 5, 2020",33.58
"Mar 13, 2020",32.916
"Mar 21, 2020",33.163
"Mar 29, 2020",28.929
"Apr 6, 2020",33.691
"Apr 14, 2020",30.967
"Apr 22, 2020",28.905
"Apr 30, 2020",25.648
"May 8, 2020",25.283
"May 16, 2020",24.06
"May 24, 2020",23.276
"Jun 1, 2020",23.224
"Jun 9, 2020",20.275
"Jun 17, 2020",20.861
"Jun 25, 2020",21.394
"Jul 3, 2020",21.82
"Jul 11, 2020",19.279
"Jul 19, 2020",21.465
"Jul 27, 2020",23.487
"Aug 4, 2020",25.91
"Aug 12, 2020",25.616
"Aug 20, 2020",27.624
"Aug 28, 2020",27.694
"Sep 5, 2020",31.856
"Sep 13, 2020",34.545
"Sep 21, 2020",35.034
"Sep 29, 2020",35.215
"Oct 7, 2020",33.751
"Oct 15, 2020",38.201
"Oct 23, 2020",41.597
"Oct 31, 2020",34.79
